^Control Number^|^Email From^|^Sample Indicator^|^Date Sent^|^Date Received^|^Embedded Data Info^
^10k_DOCS_WITHOUT_NATIVES_0000004285^|^U8TNNU33G6GRGAMHX0RT^|^Yes^|^2020-12-28^|^2020-08-22^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004286^|^6ABC36AAGMH73VP91P7G^|^No^|^2037-01-10^|^2023-03-26^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004287^|^PPHOT5T4HXLIHCP9QRKH^|^No^|^2029-12-07^|^2032-03-05^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004288^|^6DBM9446ITLZ5TIM93A1^|^Yes^|^2042-07-19^|^2043-12-13^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004289^|^UTG3PPBE1R1O1RV7CQJS^|^No^|^2022-02-09^|^2021-04-09^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004290^|^5GW5FDQGZRMRPFGUN544^|^No^|^2041-08-16^|^2047-05-28^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004291^|^QGVTHOBFOETG4SN5ZLTT^|^Yes^|^2047-06-15^|^2020-08-07^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004292^|^UZ4TDSD2KQU8QK52I8NS^|^Yes^|^2025-10-29^|^2025-03-25^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004293^|^252LK8O5RHXQKYHTDMRV^|^No^|^2038-05-11^|^2026-06-30^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004294^|^QVWY2G8ECA5L635Q2BHJ^|^Yes^|^2034-06-10^|^2026-08-04^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004295^|^PFYZ82E3NZUH5XQNGSXJ^|^Yes^|^2036-11-03^|^2040-03-21^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004296^|^5BQLBO8LM6ZULSV3ZPE6^|^No^|^2046-05-10^|^2032-03-23^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004297^|^4EYAXG9PZHVFCF1DTRCM^|^No^|^2031-04-22^|^2026-09-30^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004298^|^ZE0W4W5EU08Y5S82DRAT^|^Yes^|^2042-02-16^|^2034-04-14^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004299^|^RK5ERUEOUHBWCUE0449F^|^No^|^2028-11-25^|^2040-08-10^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004300^|^TE04C3SSNF2N8X27CVMF^|^No^|^2022-07-26^|^2043-05-25^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004301^|^7MNKVZBUOG1BUP43SQB3^|^No^|^2041-09-23^|^2028-09-20^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004302^|^G6J63OKB86K29SOO3DKR^|^No^|^2049-05-18^|^2045-06-25^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004303^|^AG9SQT5NQHKV1V0AU86Y^|^Yes^|^2025-01-28^|^2032-06-27^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004304^|^M2MFM10YWW9JRWIUNKUF^|^Yes^|^2037-10-21^|^2037-04-17^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004305^|^JZ432UFXRM2M4M0FUG06^|^Yes^|^2019-08-23^|^2027-04-03^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004306^|^ZD6RDG2EKSZSBFWZCAJ2^|^Yes^|^2021-05-29^|^2024-01-01^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004307^|^SDKAWSSIQ065BRY0MF9X^|^Yes^|^2046-09-07^|^2043-03-16^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004308^|^0FKBE41AAK1EMQFWXWD7^|^Yes^|^2029-08-06^|^2046-10-30^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004309^|^8U4VEDJNW8CXK722FVBA^|^Yes^|^2040-10-06^|^2049-01-27^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004310^|^OAHNU5SWX97W690VD4RC^|^Yes^|^2030-10-20^|^2028-12-18^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004311^|^IDCDDOZ3EEUR8AZA9VL2^|^Yes^|^2040-09-10^|^2041-09-22^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004312^|^IRJBW2QNDX0HOBZ21PXO^|^Yes^|^2039-02-14^|^2047-01-31^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004313^|^OCCW5SEK872FN4LNE3R2^|^No^|^2029-01-10^|^2049-03-02^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004314^|^2LA5OISWEE1J5SHP7W08^|^No^|^2033-03-04^|^2022-07-21^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004315^|^4STPLXWST74MHEBRPHL8^|^No^|^2038-10-12^|^2037-02-11^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004316^|^B20BQ9ZW47YCYWC0CHK9^|^Yes^|^2047-05-16^|^2023-10-29^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004317^|^TVFD131FYU0QIJNKHANQ^|^No^|^2046-04-22^|^2033-02-07^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004318^|^AV0S58TCKHQPAXRU9BA4^|^No^|^2044-06-08^|^2040-03-12^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004319^|^V4XM94D77R6XDRQ4LYDV^|^No^|^2039-05-11^|^2029-11-04^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004320^|^KWMK3ZW5QLDUYF3HX0WO^|^Yes^|^2023-01-12^|^2047-12-04^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004321^|^4FGSHKNR62HVX6QXM6IA^|^No^|^2035-08-25^|^2031-04-25^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004322^|^K0IJE0UGGL5GFO8N92XP^|^No^|^2033-01-05^|^2047-10-09^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004323^|^E3B1GD7CVVV90YXYGOG9^|^No^|^2038-02-22^|^2039-07-02^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004324^|^PGXN89AKJBF5F3MCM318^|^No^|^2026-07-11^|^2029-03-11^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004325^|^NV8VR0RPX6PD5JVKRAWO^|^Yes^|^2035-12-01^|^2043-09-01^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004326^|^OSD83KEJ73EES4DEMVNZ^|^No^|^2019-09-17^|^2025-02-03^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004327^|^K810Y14BDFK0VQFAEWEE^|^Yes^|^2044-01-20^|^2037-02-27^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004328^|^U5MGSTMSPXG8UIKYRP0D^|^No^|^2024-02-04^|^2046-10-23^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004329^|^JXTFDROGMV755Z2TMS2U^|^No^|^2045-11-07^|^2047-12-15^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004330^|^XIX0FBE2Q19IXFX5VGZ1^|^No^|^2048-03-11^|^2044-06-27^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004331^|^SWMGQ030K3W9YNN91WWX^|^No^|^2039-01-04^|^2035-05-08^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004332^|^APX4PJMPIZKQRW831Y7J^|^Yes^|^2045-02-02^|^2024-01-02^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004333^|^LWXXWXP95LBJ5UY3GNH9^|^Yes^|^2030-07-24^|^2034-08-28^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004334^|^CQ4BNX2KQ46C7QR02RTT^|^No^|^2021-05-20^|^2045-08-20^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004335^|^Y46EECATP51PNDWTMEHT^|^No^|^2022-11-06^|^2035-12-24^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004336^|^GFVRI3T6F316KH3GTZY9^|^Yes^|^2040-10-15^|^2030-08-30^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004337^|^K2VSQJBXBXTSD4FFDOOM^|^No^|^2047-10-08^|^2039-09-25^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004338^|^THUFKAXYYWSS51DY4MJO^|^No^|^2037-07-30^|^2026-02-18^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004339^|^MT4W9E3ZSBSLU9176ZU3^|^No^|^2020-06-22^|^2034-01-29^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004340^|^MM53ZY64UBUO1ZG1Z2PS^|^No^|^2040-12-28^|^2043-01-11^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004341^|^G6A9UB2HTU499BSM6FFC^|^No^|^2033-08-29^|^2027-06-21^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004342^|^LF4PBOAL7W10AIHN26BK^|^Yes^|^2037-06-20^|^2024-09-01^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004343^|^HQ1Q81IEEUR3X1BO60S1^|^No^|^2038-05-18^|^2048-09-16^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004344^|^PEQSDXTHW50S2TGRUT66^|^Yes^|^2028-06-25^|^2035-01-15^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004345^|^KM05ZOSWH9DXC0TBZPCS^|^No^|^2038-02-06^|^2020-01-07^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004346^|^HR0M8FFTO5FGB3A475WB^|^No^|^2024-07-14^|^2043-01-15^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004347^|^MUW4WCYO7GI8JZP9S4IP^|^Yes^|^2039-09-02^|^2044-07-26^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004348^|^42IN3GKZQN2PAG3NEO69^|^Yes^|^2048-11-14^|^2028-11-02^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004349^|^EU9UTLAU42EI2U6KGHN8^|^No^|^2028-08-14^|^2025-08-20^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004350^|^IB8STCDXNY81STT6JT1F^|^No^|^2037-10-03^|^2047-01-24^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004351^|^XO1CW8YGF9RLYPCF82FG^|^Yes^|^2022-06-15^|^2024-04-21^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004352^|^014DJ0KACKDLJPVPHBB4^|^No^|^2047-07-16^|^2038-03-31^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004353^|^IZ8P367ZT9CB8JX4M5PH^|^No^|^2033-06-29^|^2027-03-26^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004354^|^NA6EJXK3Y00V9QFA0KWY^|^No^|^2038-10-23^|^2020-10-04^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004355^|^RA3QQQ3YQEJI8XJW9JD4^|^Yes^|^2038-12-30^|^2030-06-03^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004356^|^PYT372RAIHN7D9W1UG7B^|^No^|^2046-06-11^|^2033-02-21^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004357^|^PVJFCJNE3JQG0MGSD2ND^|^Yes^|^2044-02-07^|^2042-10-07^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004358^|^E0OSYEH59S1R5RVFFJFS^|^Yes^|^2024-08-08^|^2030-01-24^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004359^|^ILS8JEHLS2WFJOCETIBN^|^No^|^2044-03-17^|^2022-09-28^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004360^|^SOI6M9KPKYAI4PFT09VS^|^No^|^2029-04-12^|^2024-10-08^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004361^|^JVHZFBNZQYTY3CC1V4KS^|^No^|^2046-05-17^|^2044-03-03^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004362^|^597OTG3SG74GR0FIHAFF^|^No^|^2029-01-14^|^2022-12-20^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004363^|^55B8PWSP6FLB004IP5U5^|^Yes^|^2031-05-02^|^2048-06-28^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004364^|^SPISL99GDICC1LHWC21B^|^No^|^2046-03-17^|^2046-07-02^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004365^|^4FQL3D3220SHCKF5VFL1^|^No^|^2036-01-25^|^2022-01-17^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004366^|^UIHC9PDZR100U26DFTYP^|^No^|^2027-04-07^|^2025-09-26^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004367^|^A6HAZRU99MLK8BLSNLLE^|^No^|^2047-11-29^|^2028-09-09^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004368^|^J591D4N59WQ35SBOAXXR^|^No^|^2040-09-16^|^2022-08-23^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004369^|^1ZNFLQ6JZP847710FVOS^|^No^|^2037-02-15^|^2047-07-03^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004370^|^WBOWGC6N4IGSHSIN6QNA^|^No^|^2020-08-27^|^2047-10-15^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004371^|^ZEP4QACZHKTOHB56DXVQ^|^No^|^2023-04-06^|^2024-12-09^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004372^|^SPQ4GWB3SDBK7GJWALPO^|^Yes^|^2042-06-25^|^2047-06-11^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004373^|^AB9VAF273V1A6B4QFUGA^|^No^|^2046-09-14^|^2019-10-22^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004374^|^H9JRFAL12JKBLXT1WB36^|^No^|^2042-05-16^|^2020-01-21^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004375^|^QBI9L6SIFNDIBB2VYD43^|^Yes^|^2030-01-02^|^2031-11-11^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004376^|^RK0D0FX7PI5QY1NZEWXO^|^No^|^2039-05-05^|^2036-09-12^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004377^|^OK7J9SGEEWGP47G4TF8M^|^No^|^2028-10-22^|^2025-11-02^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004378^|^V38XZ2SN9JQ8DVRMZGUD^|^Yes^|^2024-08-25^|^2024-06-05^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004379^|^DSXNW9G038UXD1FAD280^|^No^|^2046-12-25^|^2022-04-16^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004380^|^16XXASBPP11X9VN7JPGY^|^No^|^2034-07-24^|^2030-07-23^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004381^|^4USN7UPQZ3D3YU0X1NN6^|^No^|^2024-05-13^|^2046-05-29^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004382^|^99EXLW1KEJVD6IERL6D8^|^Yes^|^2023-02-15^|^2031-08-10^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004383^|^98ZCLKT5IAHSVQVG8XYE^|^Yes^|^2049-04-27^|^2045-03-03^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004384^|^ZY8JH9X3FLFC8B251OXC^|^No^|^2042-08-15^|^2048-12-29^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004385^|^R10UZIOAO352ACBA9PO1^|^Yes^|^2044-12-04^|^2042-12-18^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004386^|^AX0WLJZBBFYZU1GLGHV4^|^Yes^|^2031-11-30^|^2039-04-27^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004387^|^7GMINLZDWTBJDKN1NJSE^|^No^|^2042-10-20^|^2039-03-09^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004388^|^EV8JEHYJA7BPRHG9VWH4^|^Yes^|^2025-06-29^|^2032-05-31^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004389^|^ESY5VHICT5GFZHHGFWXW^|^Yes^|^2041-04-14^|^2029-12-14^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004390^|^FP1QBBYYUVPQSFTVKU9Z^|^Yes^|^2040-01-27^|^2031-06-30^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004391^|^ABQM8QZ8XAX5TXZS2UJY^|^No^|^2030-05-16^|^2047-08-03^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004392^|^FBF1S4F1N09YF2EK6Z9V^|^No^|^2038-02-25^|^2046-08-21^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004393^|^28E789ZEPVSASO1Z6561^|^Yes^|^2028-08-28^|^2032-02-18^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004394^|^6EIN0976MK0XNVOI86BX^|^No^|^2026-05-08^|^2047-05-19^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004395^|^8NKIIRJAKSAMEKDGI0B4^|^No^|^2025-11-14^|^2036-08-20^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004396^|^TGY2AWHA075JX6OOLUC4^|^No^|^2038-09-19^|^2024-05-28^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004397^|^EPMFB0U022NN05DBNTY4^|^No^|^2042-06-02^|^2025-08-18^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004398^|^IYSQRUWRTIAB4BFBMFQ9^|^No^|^2029-03-16^|^2045-07-04^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004399^|^15KP7TEKD12BZXYPKN09^|^Yes^|^2041-12-27^|^2043-12-06^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004400^|^A4DH2DDGHMV0NU22808G^|^No^|^2043-01-07^|^2029-10-01^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004401^|^KY5ITELR8BBAMD6MWDW4^|^Yes^|^2026-01-30^|^2029-03-07^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004402^|^C4GPAIGSVFKPORB00I26^|^No^|^2027-06-20^|^2041-05-12^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004403^|^WW7FCE4A7JMV06VHKGAH^|^No^|^2030-01-19^|^2040-05-09^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004404^|^9VW54LQW001EUFCRSFN3^|^Yes^|^2039-01-31^|^2049-04-03^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004405^|^Z6KYK4W6LP66XCAFTMJY^|^No^|^2038-09-06^|^2021-09-16^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004406^|^ZP1468Y9IRJMIYL8PTJD^|^Yes^|^2023-04-23^|^2030-02-23^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004407^|^631XECSZ2MW2PYPPFQKD^|^Yes^|^2027-02-10^|^2047-12-25^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004408^|^AHS5HURYG12RJYVEUTPS^|^Yes^|^2040-05-16^|^2038-09-07^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004409^|^HVX5GOZNTU9JT97GJATG^|^Yes^|^2045-10-12^|^2047-04-25^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004410^|^60PKJKU7EI4C7Q8K4562^|^Yes^|^2030-12-16^|^2022-03-11^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004411^|^5TKXLBX8JLXCZY2MHEBR^|^No^|^2031-08-21^|^2039-05-10^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004412^|^D7VQMTZCE8DOHYYDK2QT^|^No^|^2029-01-10^|^2042-02-09^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004413^|^A6DAZCB9Q9HGCALC0QIO^|^Yes^|^2037-07-18^|^2035-12-12^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004414^|^K372JQQFQZXM362YRAMZ^|^No^|^2034-06-22^|^2043-02-20^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004415^|^A504E72USV03A604JT7T^|^Yes^|^2029-11-01^|^2048-09-08^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004416^|^M9M5WD9G447NM8A89VCM^|^Yes^|^2022-09-07^|^2028-05-24^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004417^|^922VSKLRD4NX0FQC08PB^|^Yes^|^2020-07-26^|^2028-06-23^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004418^|^PKLDBBXWSI4VHW89IXO3^|^Yes^|^2025-12-18^|^2032-05-20^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004419^|^RDRW6R7U3C6C3YH6RSNL^|^No^|^2027-07-19^|^2046-06-10^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004420^|^VPL2I0D75Z2L0J3QVZCV^|^Yes^|^2045-07-15^|^2042-01-06^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004421^|^0CRZSQPGBMBJU3HFQBL2^|^No^|^2021-04-10^|^2021-10-23^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
^10k_DOCS_WITHOUT_NATIVES_0000004422^|^AZ2ZKJTQSHA8TF8AFP6L^|^Yes^|^2030-07-01^|^2026-06-16^|^KEPLER_DOCUMENT_REPOSITORY_LONG^
